ptype,floor_area,build_year,occupy,star,site_eui,ngas,water_use
Office,110000,1905,100,72,73.1,3538400,2709.5
Office,88000,1896,100,60,100.2,1694769.6,6511.3
Office,92088,1898,100,91,56.6,979542.4,2089.6
Multifamily Housing,83200,2006,100,8,83.8,4120551.5,7183.8
Multifamily Housing,197720,1930,100,11,62.1,3826813.7,7594.2
Multifamily Housing,315000,1890,100,48,65.8,5527466.7,1842.5
Multifamily Housing,67048,1910,100,28,85.5,3501573.2,1202.7
Multifamily Housing,54914,1941,100,82,78.9,3452429,1767.6
Office,79936,1885,100,26,172.2,12163719.7,1923
Office,52192,1928,100,39,107.8,2396403.3,608.2
Multifamily Housing,128300,2010,100,1,106.2,6841983.3,5351.6
Multifamily Housing,94918,1920,100,9,99.1,6354555.8,5215.8
Multifamily Housing,126633,2005,100,1,142.5,12941766.8,4524.7
Office,170776,1930,80,73,87.6,6252119.5,0
Multifamily Housing,75165,1908,100,26,82.8,141363.3,651.5
Office,287886,1910,100,60,89.7,1549854.1,2211.4
Multifamily Housing,80600,1981,100,1,256.7,17534800.3,9168.5
Multifamily Housing,95000,1891,100,4,75.5,2182223.7,3106.7
Multifamily Housing,134387,1931,100,59,79.3,7773200,3696
Multifamily Housing,100581,1952,100,6,104.7,5606883.1,8910.5
Multifamily Housing,72500,1932,100,47,89.3,201526.7,6828.9
Multifamily Housing,95590,1890,100,7,82.6,2573760,6759.6
Multifamily Housing,455959,1950,100,85,36.8,3325819.4,27443.8
Multifamily Housing,64622,1925,100,34,79.4,4027563.3,1412.3
Office,974349.1,1906,100,82,77.9,14570676,15042.2
Multifamily Housing,237037,1965,100,27,112.8,478224.3,11823
Multifamily Housing,104722,1887,100,1,180.2,16167045,4545.9
Residence Hall/Dormitory,57263,1988,100,37,111.9,4113099.7,3896.6
Multifamily Housing,60266,1910,100,5,102.7,4222137.8,2536.6
Multifamily Housing,204580,1959,100,7,92.1,13107943.6,9827.9
Multifamily Housing,160896,1929,100,73,73.4,9190376.4,5673.2
Multifamily Housing,148870,1959,100,23,107.7,2294178.8,7522.4
Multifamily Housing,101567,1925,100,27,102.7,5352107.6,2953.7
Multifamily Housing,242016,1955,100,65,67.3,12287158.4,9452.4
Multifamily Housing,144516,1928,100,64,70.1,7018859.4,5586.5
Multifamily Housing,187600,1923,100,49,81.3,10215099.8,9657.1
Office,180000,1906,100,71,94.1,11012075.2,11839.4
Multifamily Housing,103015,1899,100,33,75.1,227638.1,5892.4
Multifamily Housing,66000,1929,100,52,88.5,143600,2578.5
Office,62000,1916,90,3,130.2,2883274.5,10529.6
Multifamily Housing,89970,1910,100,85,63.8,4172889.7,2654.1
Multifamily Housing,64377,1928,100,94,58.1,3493223.4,259739.4
Office,119000,1903,100,89,63.7,230232.3,360.5
Office,40000,1913,100,67,71.8,27779.8,448.9
Hotel,68925,2013,100,68,109.4,3053300.1,5701
Multifamily Housing,110524,1963,100,95,63.6,5202387.3,8069.2
Retail Store,206442,1971,100,11,187.3,11599725.7,12179.4
Multifamily Housing,110327,1929,100,38,69.4,5263073.6,3158.5
Multifamily Housing,97105,1921,100,96,78.7,5989180.2,3720.8
Residence Hall/Dormitory,155195,1899,100,79,55.6,208440,9223.7
Multifamily Housing,95117,1929,100,74,79,143500,3600.6
Multifamily Housing,64220,1903,100,53,76.8,3357904.8,1752.7
Multifamily Housing,127184,1920,100,99,56.6,5430127.8,2653.4
Multifamily Housing,47363,1907,100,1,169.6,3656240.5,7378.7
Multifamily Housing,52427,1910,100,12,78.4,1830099.9,2336.9
Multifamily Housing,50929,1959,100,38,126.5,1909912.3,3004.6
Multifamily Housing,132420,1940,100,47,95.6,202147.7,3401.8
Multifamily Housing,102532,1959,100,78,88.4,150573.3,6078.7
Multifamily Housing,52000,1923,100,71,76.8,3190800.2,1462
Multifamily Housing,66100,1924,100,86,73.9,189183.1,2322.7
Multifamily Housing,62695,1968,100,30,84.4,198148.4,3260
Multifamily Housing,119728,1931,100,72,63.5,6328003.1,5135
Residence Hall/Dormitory,60248,1910,100,17,102.7,3571575.2,2829.9
Multifamily Housing,98066,1910,100,4,95.5,2017266,6896.3
Office,320500,1929,100,95,79.5,9358210.5,5157.4
Office,36000,1925,100,95,61,2593246.9,2008.4
Office,313991,1929,100,73,74.4,4162478.3,4017.3
Office,170437,1927,100,98,54.6,802.9,2138.8
Office,292121,1929,85,80,68.3,4078407.6,5367.8
Worship Facility,40000,1928,100,89,62.4,4069589.9,0
Multifamily Housing,146982,1958,100,39,96.7,9804636.9,6407.8
Office,59445,1930,100,99,35.7,987780,567.2
Office,937210,1935,25,54,86.5,243500,0
Distribution Center,479500,1949,75,29,84.8,20181835,997.4
Office,59650,1900,100,92,48.9,925,382
Office,122893,1930,90,98,175,1203780.1,1712.4
Office,886060,1931,100,78,82.2,14337093.2,18360.8
Office,73800,1921,100,7,126.8,799600,859.6
Office,109150,1912,100,80,59.6,1808497.5,1908.3
Office,263637,1935,100,82,72.2,4728485,5231.1
Multifamily Housing,83170,1920,100,87,33.4,954533.1,1664.4
Multifamily Housing,85137,1920,100,6,107.7,6914527.1,3751.5
Multifamily Housing,50772,1959,100,63,139.1,141700,1982
Multifamily Housing,104225,1941,100,15,110.5,9042874.5,2520.7
Multifamily Housing,94144,1961,100,67,91.6,188900,6442.4
College/University,65000,2005,100,16,105.8,2199900,867.7
Multifamily Housing,110000,1932,100,99,57.8,5869551.2,5306
Multifamily Housing,107255,1931,100,24,102.8,205460,4483.1
