bname,build_year,floor_area,occupy,water_use,ws_ngas,ws_elec,site_eui
Multifamily,1932,72500,100,6828.9,0,743198.9,89.3
Multifamily,1890,95590,100,6759.6,0.2,2090978.2,82.6
Multifamily,1950,455959,100,27443.8,0.1,3520317.3,36.8
Multifamily,1965,470253,100,18239,0.8,2494296.6,90.8
Multifamily,1927,222273,100,15275.2,0.1,1718962.3,86.5
Multifamily,1925,64622,100,1412.3,0.7,308935.1,79.4
Office,1906,974349.1,100,15042.2,0.1,17308085.4,77.9
Multifamily,1965,237037,100,11823,0,1728061.9,112.8
Multifamily,1919,164500,100,6925.5,0.3,1472708,92.3
Multifamily,1887,104722,100,4545.9,1.5,788611.1,180.2
Multifamily,1988,57263,100,3896.6,0.8,640501.9,111.9
Multifamily,1985,73936,100,2710.2,0.5,400698.8,61.1
Multifamily,1901,98627,100,7781.2,0.6,1042341.4,97.1
Multifamily,1910,60266,100,2536.6,0.8,563087.4,102.7
Multifamily,1955,212372,100,10630.6,0.6,2808031.3,96.8
Multifamily,1959,204580,100,9827.9,0.7,1940152.2,92.1
Multifamily,1929,160896,100,5673.2,0.6,733629.9,73.4
Multifamily,1959,148870,100,7522.4,0.2,986557,107.7
Multifamily,1925,101567,100,2953.7,0.5,438356.6,102.7
Multifamily,1955,242016,100,9452.4,0.5,1603261.1,67.3
Multifamily,1928,144516,100,5586.5,0.4,1112323.5,70.1
Multifamily,1923,187600,100,9657.1,0.6,1426404.9,81.3
Office,1906,180000,100,11839.4,0.5,2691784.5,94.1
Multifamily,1899,103015,100,5892.4,0,1337347,75.1
Multifamily,1929,66000,100,2578.5,0,395701.2,88.5
Multifamily,1910,89970,100,2654.1,0.5,438830.8,63.8
Multifamily,1928,64377,100,259739.4,0.6,71975.2,58.1
Office,1903,119000,100,360.5,0,1391250.8,63.7
Office,1913,40000,100,448.9,0,669501.2,71.8
Hotel,2013,68925,100,5701,0.5,1316027.8,109.4
Multifamily,1963,110524,100,8069.2,0.5,686030,63.6
Retail,1971,206442,100,12179.4,0.6,7934040,187.3
Multifamily,1965,436154,100,14285.5,0.7,1661860.8,81.7
Multifamily,1929,110327,100,3158.5,0.5,546334.5,69.4
Multifamily,1921,97105,100,3720.8,0.7,471936.6,78.7
Multifamily,1899,155195,100,9223.7,0,873337.9,55.6
Multifamily,1929,95117,100,3600.6,0,407892.9,79
Multifamily,1903,64220,100,1752.7,0.6,400683.9,76.8
Multifamily,1920,127184,100,2653.4,0.5,518307,56.6
Multifamily,1907,47363,100,7378.7,0.6,999393.8,169.6
Multifamily,1910,52427,100,2336.9,0.4,675715.5,78.4
Multifamily,1959,50929,100,3004.6,0.3,647080.2,126.5
Multifamily,1928,42384,100,4459.4,0.6,769129.2,91.4
Multifamily,1923,178780,100,5283.5,0.2,880462.8,56.9
Multifamily,1959,102532,100,6078.7,0,1230301,88.4
Education,1931,126418,100,2105.7,0,1487382.8,105
Multifamily,1923,52000,100,1462,0.7,229094.7,76.8
Multifamily,1960,125926,100,4332,0.6,903502,81.1
Education,1932,195123,100,2037.8,0,1381599.7,61.1
Multifamily,1968,62695,100,3260,0,541614,84.4
Multifamily,1931,119728,100,5135,0.5,636365.4,63.5
Multifamily,1910,60248,100,2829.9,0.7,747234.4,102.7
Multifamily,1960,151600,100,6855.9,0,531692.1,39.1
Multifamily,1910,98066,100,6896.3,0.2,1009686,95.5
Education,1900,105609,100,1565.7,0,2647292.1,127.5
Office,1929,320500,100,5157.4,0.3,4944125,79.5
Facility,1924,195640,100,984.9,0.2,2372529.5,49.1
Office,1925,36000,100,2008.4,0.5,152340.4,61
Office,1929,313991,100,4017.3,0.1,5879621.7,74.4
Office,1930,60000,100,943.1,0,1480290.9,93.7
Office,1927,170437,100,2138.8,0,1714285.9,54.6
Office,1929,292121,85,5367.8,0.1,4080563.7,68.3
Multifamily,1926,125340,100,6128.3,0.1,1103227.2,101.7
Facility,1928,40000,100,0,0.6,209060.1,62.4
Multifamily,1930,97000,100,3606.7,0.3,922072.1,62.2
Multifamily,1958,146982,100,6407.8,0.7,1581748.7,96.7
Multifamily,1985,74636,100,1541.4,0.4,479038.8,55.8
Multifamily,1926,51200,100,733,0.2,185402,33.2
Office,1930,59445,100,567.2,0.2,333141.6,35.7
Multifamily,1900,53634,95,65424.1,0,430663.1,26.9
Office,1935,937210,25,0,0,20235317.3,86.5
Facility,1949,479500,75,997.4,0.5,6002059.9,84.8
Office,1900,59650,100,382,0,494026.4,48.9
Office,1930,122893,90,1712.4,0.1,10070938.7,175
Office,1931,886060,100,18360.8,0.2,17276610.3,82.2
Other,1920,118422,100,3521.5,0.2,3143172.9,105
Office,1921,73800,100,859.6,0.1,2484136.7,126.8
Multifamily,1920,220309,100,10129.4,0.1,3100757.4,73
Office,1912,109150,100,1908.3,0.2,1562883,59.6
Office,1935,263637,100,5231.1,0.2,4308515.4,72.2
Multifamily,1920,83170,100,1664.4,0.1,607248.3,33.4
Multifamily,1920,85137,100,3751.5,0.9,661394.7,107.7
Multifamily,1959,50772,100,1982,0,761135.9,139.1
Multifamily,1941,104225,100,2520.7,0.9,699177.1,110.5
Multifamily,1960,327000,100,19148.6,0.6,2037419.2,99.9
Multifamily,1961,94144,100,6442.4,0,175181,91.6
Education,2005,65000,100,867.7,0.4,1355233.3,105.8
Multifamily,1932,110000,100,5306,0.6,143788.4,57.8
Multifamily,1931,107255,100,4483.1,0,787434,102.8
Multifamily,1961,125935,100,7871.8,0.5,913479.8,67
Multifamily,1910,68294,100,1078.7,0.2,490492.6,40.7
Multifamily,1960,132500,100,4157.7,0.3,608285.3,70.7
Multifamily,1962,210644,95,7063.1,0.6,737392.6,64.7
Multifamily,1987,93517,100,4432.4,0.5,1117839.4,83.8
Multifamily,2008,79989,100,3601.2,0.4,1614080.4,97.2
Multifamily,1962,92998,100,2993.7,0.4,607956.2,59.2
Multifamily,1998,47277,100,1572.9,0.4,260612,50.2
