property type,sqft,Year Built,Occupancy,ENERGY STAR Score,Site EUI (kBtu/ft²),Oil kBtu,Diesel kBtu,Steam kBtu,gas kBtu,Total CO2 tons,Water kgal
Office,2325044,1970,100,84,104.8,0,0,89220098.4,48999279.2,19319.9,49920.3
Office,1090700,1969,95,84,69.1,0,0,15668822.1,0,6614.7,0
Office,1390556,1970,100,77,124.3,0,0,33671674.9,0,0,30656.2
Multifamily Housing,132653,1985,100,1,124,22286999.6,0,0,2156896.9,1652.4,0
Office,847751,1969,100,88,67.3,0,0,15654033.2,0,4911.4,11992.8
Office,575860,1987,100,77,76,0,0,10570147.7,0,3781.9,0
Office,859807,1969,100,62,108.6,0,0,49346748.7,0,7358.5,10430.1
Office,405310,1986,95,38,101.1,0,0,5297777.7,0,3662.4,0
Office,336025,1931,70,86,60.1,0,0,5875119.4,0,1717.7,4121.4
Office,322760,1964,100,74,98.3,0,0,17162635.6,0,2558.3,4625.9
Multifamily Housing,52091,1909,100,0,76.9,0,0,0,3292581.4,255.5,15.9
Office,423403,1930,100,91,54.6,0,0,9293200,0,1899.8,7260.5
Office,220000,1882,100,76,56.4,7176524.2,0,0,2615.2,1083.8,2483.5
Office,423348,1958,100,76,93.9,0,0,13084540.4,411030.3,3325.6,0
Office,767690,1921,100,92,64.3,0,0,27583955.4,0,4569.7,19907.9
Multifamily Housing,333921,1931,100,0,78.2,0,0,0,14159397.1,1867.8,12211.2
Office,741337,1902,100,90,43.4,4307146.1,0,0,5162808.9,5147,18551.7
Multifamily Housing,207463,1929,100,31,78.8,0,0,9149821.1,190709.4,1415.2,0
Office,1445610,1986,100,79,110,0,0,34260555.9,455351.5,13616.4,13880.6
Office,2376683,1986,90,71,120.5,0,0,64415506,288797,23331.4,47595.3
