ptype,floor_area,build_year,occupy,star,site_eui,ngas,water_use
Multifamily Housing,54914.0,1941,100,82.0,78.9,3452429.0,1767.6
Office,79936.0,1885,100,26.0,172.2,12163719.7,1923.0
Office,52192.0,1928,100,39.0,107.8,2396403.3,608.2
Multifamily Housing,128300.0,2010,100,1.0,106.2,6841983.3,5351.6
Multifamily Housing,94918.0,1920,100,9.0,99.1,6354555.8,5215.8
Multifamily Housing,126633.0,2005,100,1.0,142.5,12941766.8,4524.7
Office,170776.0,1930,80,73.0,87.6,6252119.5,0.0
Multifamily Housing,75165.0,1908,100,26.0,82.8,141363.3,651.5
Office,287886.0,1910,100,60.0,89.7,1549854.1,2211.4
Multifamily Housing,80600.0,1981,100,1.0,256.7,17534800.3,9168.5
Multifamily Housing,95000.0,1891,100,4.0,75.5,2182223.7,3106.7
Multifamily Housing,134387.0,1931,100,59.0,79.3,7773200.0,3696.0
Multifamily Housing,100581.0,1952,100,6.0,104.7,5606883.1,8910.5
Multifamily Housing,72500.0,1932,100,47.0,89.3,201526.7,6828.9
Multifamily Housing,95590.0,1890,100,7.0,82.6,2573760.0,6759.6
Multifamily Housing,455959.0,1950,100,85.0,36.8,3325819.4,27443.8
Multifamily Housing,64622.0,1925,100,34.0,79.4,4027563.3,1412.3
Office,974349.1,1906,100,82.0,77.9,14570676.0,15042.2
Multifamily Housing,237037.0,1965,100,27.0,112.8,478224.3,11823.0
Multifamily Housing,104722.0,1887,100,1.0,180.2,16167045.0,4545.9
Residence Hall/Dormitory,57263.0,1988,100,37.0,111.9,4113099.7,3896.6
Multifamily Housing,60266.0,1910,100,5.0,102.7,4222137.8,2536.6
Multifamily Housing,204580.0,1959,100,7.0,92.1,13107943.6,9827.9
Multifamily Housing,160896.0,1929,100,73.0,73.4,9190376.4,5673.2
Multifamily Housing,148870.0,1959,100,23.0,107.7,2294178.8,7522.4
Multifamily Housing,101567.0,1925,100,27.0,102.7,5352107.6,2953.7
Multifamily Housing,242016.0,1955,100,65.0,67.3,12287158.4,9452.4
Multifamily Housing,144516.0,1928,100,64.0,70.1,7018859.4,5586.5
Multifamily Housing,187600.0,1923,100,49.0,81.3,10215099.8,9657.1
Office,180000.0,1906,100,71.0,94.1,11012075.2,11839.4
Multifamily Housing,103015.0,1899,100,33.0,75.1,227638.1,5892.4
Multifamily Housing,66000.0,1929,100,52.0,88.5,143600.0,2578.5
Office,62000.0,1916,90,3.0,130.2,2883274.5,10529.6
Multifamily Housing,89970.0,1910,100,85.0,63.8,4172889.7,2654.1
Multifamily Housing,64377.0,1928,100,94.0,58.1,3493223.4,259739.4
Office,119000.0,1903,100,89.0,63.7,230232.3,360.5
Office,40000.0,1913,100,67.0,71.8,27779.8,448.9
Hotel,68925.0,2013,100,68.0,109.4,3053300.1,5701.0
Multifamily Housing,110524.0,1963,100,95.0,63.6,5202387.3,8069.2
Retail Store,206442.0,1971,100,11.0,187.3,11599725.7,12179.4
Multifamily Housing,110327.0,1929,100,38.0,69.4,5263073.6,3158.5
Multifamily Housing,97105.0,1921,100,96.0,78.7,5989180.2,3720.8
Residence Hall/Dormitory,155195.0,1899,100,79.0,55.6,208440.0,9223.7
Multifamily Housing,95117.0,1929,100,74.0,79.0,143500.0,3600.6
Multifamily Housing,64220.0,1903,100,53.0,76.8,3357904.8,1752.7
Multifamily Housing,127184.0,1920,100,99.0,56.6,5430127.8,2653.4
Multifamily Housing,47363.0,1907,100,1.0,169.6,3656240.5,7378.7
Multifamily Housing,52427.0,1910,100,12.0,78.4,1830099.9,2336.9
Multifamily Housing,50929.0,1959,100,38.0,126.5,1909912.3,3004.6
Multifamily Housing,132420.0,1940,100,47.0,95.6,202147.7,3401.8
Multifamily Housing,102532.0,1959,100,78.0,88.4,150573.3,6078.7
Multifamily Housing,52000.0,1923,100,71.0,76.8,3190800.2,1462.0
Multifamily Housing,66100.0,1924,100,86.0,73.9,189183.1,2322.7
Multifamily Housing,62695.0,1968,100,30.0,84.4,198148.4,3260.0
Multifamily Housing,119728.0,1931,100,72.0,63.5,6328003.1,5135.0
Residence Hall/Dormitory,60248.0,1910,100,17.0,102.7,3571575.2,2829.9
Multifamily Housing,98066.0,1910,100,4.0,95.5,2017266.0,6896.3
Office,320500.0,1929,100,95.0,79.5,9358210.5,5157.4
Office,36000.0,1925,100,95.0,61.0,2593246.9,2008.4
Office,313991.0,1929,100,73.0,74.4,4162478.3,4017.3
Office,170437.0,1927,100,98.0,54.6,802.9,2138.8
Office,292121.0,1929,85,80.0,68.3,4078407.6,5367.8
Worship Facility,40000.0,1928,100,89.0,62.4,4069589.9,0.0
Multifamily Housing,146982.0,1958,100,39.0,96.7,9804636.9,6407.8
Office,59445.0,1930,100,99.0,35.7,987780.0,567.2
Office,937210.0,1935,25,54.0,86.5,243500.0,0.0
Distribution Center,479500.0,1949,75,29.0,84.8,20181835.0,997.4
Office,59650.0,1900,100,92.0,48.9,925.0,382.0
Office,122893.0,1930,90,98.0,175.0,1203780.1,1712.4
Office,886060.0,1931,100,78.0,82.2,14337093.2,18360.8
Office,73800.0,1921,100,7.0,126.8,799600.0,859.6
Office,109150.0,1912,100,80.0,59.6,1808497.5,1908.3
Office,263637.0,1935,100,82.0,72.2,4728485.0,5231.1
Multifamily Housing,83170.0,1920,100,87.0,33.4,954533.1,1664.4
Multifamily Housing,85137.0,1920,100,6.0,107.7,6914527.1,3751.5
Multifamily Housing,50772.0,1959,100,63.0,139.1,141700.0,1982.0
Multifamily Housing,104225.0,1941,100,15.0,110.5,9042874.5,2520.7
Multifamily Housing,94144.0,1961,100,67.0,91.6,188900.0,6442.4
College/University,65000.0,2005,100,16.0,105.8,2199900.0,867.7
Multifamily Housing,110000.0,1932,100,99.0,57.8,5869551.2,5306.0
Multifamily Housing,107255.0,1931,100,24.0,102.8,205460.0,4483.1
Multifamily Housing,125935.0,1961,100,84.0,67.0,5845893.9,7871.8
Multifamily Housing,76700.0,1930,100,7.0,100.8,1514761.3,5361.3
Multifamily Housing,68294.0,1910,100,85.0,40.7,1109737.5,1078.7
Multifamily Housing,210644.0,1962,95,92.0,64.7,12298700.1,7063.1
Multifamily Housing,93517.0,1987,100,44.0,83.8,5024659.3,4432.4
Multifamily Housing,92998.0,1962,100,62.0,59.2,3361100.3,2993.7
Multifamily Housing,101602.0,1985,100,18.0,86.9,4718112.7,3680.9
Multifamily Housing,148935.0,1910,100,57.0,81.5,296811.9,4145.7
Multifamily Housing,79065.0,1939,100,53.0,72.0,3373730.1,3652.0
Multifamily Housing,267542.0,1963,100,100.0,21.2,1002918.8,9513.0
Hotel,107990.0,2003,100,5.0,159.6,10657483.7,14024.5
Multifamily Housing,51200.0,1930,100,24.0,82.6,2903699.7,2022.8
Multifamily Housing,149324.0,1902,100,80.0,60.0,6616696.8,4412.6
Multifamily Housing,53500.0,1900,100,58.0,64.0,2244099.8,1718.8
Multifamily Housing,71000.0,1950,100,92.0,66.0,3518903.9,3046.8
Multifamily Housing,165435.0,1964,100,82.0,72.7,748693.4,7621.5
Multifamily Housing,60000.0,1961,100,55.0,76.3,3113776.6,2093.3
Multifamily Housing,66871.0,2004,100,4.0,145.1,7422680.9,1695.6
Multifamily Housing,69755.0,1930,100,18.0,56.5,2493487.4,1573.2
Multifamily Housing,72640.0,1920,100,95.0,41.1,1884837.1,1520.0
Multifamily Housing,595669.0,1895,100,80.0,63.6,31011583.4,16620.0
Multifamily Housing,100320.0,1939,100,68.0,56.3,3275053.0,3715.3
Multifamily Housing,71549.0,2003,100,45.0,82.0,4234223.5,2259.9
Multifamily Housing,210440.0,2009,100,9.0,74.3,7045730.8,3909.4
